縣市,101,102,103,104,105,106,10712
基隆市,52,52,52,52,52,65,470
台北市,172,236,284,423,468,6029,10902
新北市,569,870,3968,6567,9984,13586,20231
桃園市,2970,3702,5206,6684,16828,54443,123699
新竹市,728,787,814,937,1632,3182,11453
新竹縣,512,1284,1569,2095,7279,13953,53942
苗栗縣,430,1468,2975,3714,5380,13497,53498
台中市,4850,15691,29653,47888,59794,74519,137348
彰化縣,3460,29733,46236,62825,105037,185019,306192
南投縣,1211,3153,7875,14867,18880,25803,44100
雲林縣,9297,38660,79380,132244,199523,275702,395860
嘉義市,165,420,594,3054,5191,8353,12003
嘉義縣,8427,20393,37398,64535,87284,119977,187505
台南市,20610,39139,62181,107529,152950,224340,398163
高雄市,35528,56108,71229,89656,112642,170636,297033
屏東縣,42074,68085,82937,104339,121094,152558,230041
宜蘭縣,149,166,179,2121,4487,10690,18516
花蓮縣,294,451,488,562,638,2284,5011
台東縣,58,526,3848,7980,9172,12025,15556
澎湖縣,359,1504,2268,7045,8183,11243,13154
金門縣,531,531,581,879,4157,5386,7513
連江縣,12,12,12,12,12,12,12
